0;0;1843,935426;112,7275475;
0;1;1843,916235;112,7333207;
0;2;1843,924486;112,7199209;
0;3;1843,926377;112,7225226;
0;4;1843,923638;112,7228467;
100;0;1843,21752;112,6368845;
100;1;1843,212027;112,6302914;
100;2;1843,220825;112,6361881;
100;3;1843,21419;112,6326241;
100;4;1843,216245;112,6313596;
200;0;1842,581108;112,3768885;
200;1;1842,580585;112,3809011;
200;2;1842,587061;112,3759646;
200;3;1842,591725;112,379086;
200;4;1842,576643;112,3850114;
300;0;1841,806039;112,2688699;
300;1;1841,808837;112,2646979;
300;2;1841,810616;112,2767864;
300;3;1841,807981;112,2744621;
300;4;1841,798101;112,2697537;
400;0;1840,939488;112,1516694;
400;1;1840,987804;112,2121235;
400;2;1840,9244;112,1594876;
400;3;1840,983072;112,2158016;
400;4;1840,984566;112,2099798;
500;0;1840,239284;112,1939431;
500;1;1840,239563;112,1930365;
500;2;1840,236158;112,186239;
500;3;1840,23449;112,1896864;
500;4;1840,244155;112,191225;
600;0;1839,630848;112,1003861;
600;1;1839,630259;112,0896969;
600;2;1839,638119;112,0937569;
600;3;1839,624115;112,1027722;
600;4;1839,635994;112,0948595;
700;0;1839,023621;112,0251513;
700;1;1839,018636;112,0280937;
700;2;1839,009723;112,0309615;
700;3;1839,013676;112,0326307;
700;4;1839,009187;112,0237107;
800;0;1838,616005;111,9603662;
800;1;1838,615963;111,9728932;
800;2;1838,596525;111,9881485;
800;3;1838,601636;111,9897534;
800;4;1838,605423;111,9684505;
900;0;1838,218722;111,8988315;
900;1;1838,219179;111,8737614;
900;2;1838,202017;111,9297546;
900;3;1838,211107;111,887099;
900;4;1838,217895;111,890573;
1000;0;1837,846596;112,1421207;
1000;1;1837,849931;112,1254947;
1000;2;1837,855186;112,1242058;
1000;3;1837,839743;112,1240175;
1000;4;1837,84147;112,1241736;
1100;0;1837,968702;112,4785516;
1100;1;1837,976425;112,4783512;
1100;2;1837,974243;112,4863182;
1100;3;1837,973118;112,4902488;
1100;4;1837,946307;112,4896245;
